Algo 1,,,Algo 2,,,,Algo 3,
Date ,Action ,,Date ,Action ,,,Date ,Action 
01/01/2022,Buy,,01/01/2022,Buy,,,01/01/2022,Buy
05/01/2022,Sell,,05/01/2022,Sell,,,06/01/2022,Sell
12/01/2022,Buy,,12/01/2022,Buy,,,14/01/2022,Buy
18/01/2022,Sell,,24/01/2022,Sell,,,24/01/2022,sell
21/01/2022,Buy,,03/02/2022,Buy,,,01/02/2022,Buy
24/01/2022,Sell,,11/02/2022,Sell,,,07/02/2022,sell
26/01/2022,Buy,,26/02/2022,Buy,,,25/02/2022,buy
28/01/2022,Sell,,10/03/2022,sell,,,10/03/2022,sell
03/02/2022,Buy,,18/03/2022,buy,,,16/03/2022,buy
11/02/2022,Sell,,29/03/2022,sell,,,29/03/2022,sell
15/02/2022,Buy,,09/04/2022,buy,,,10/04/2022,buy
17/02/2022,Sell,,22/04/2022,sell,,,22/04/2022,sell
26/02/2022,Buy,,02/05/2022,buy,,,30/04/2022,buy
04/03/2022,sell,,08/05/2022,sell,,,09/05/2022,sell
06/03/2022,buy ,,07/05/2022,buy,,,22/05/2022,buy
10/03/2022,sell,,13/06/2022,sell,,,03/06/2022,sell
18/03/2022,buy,,19/06/2022,buy,,,22/06/2022,buy
25/03/2022,sell,,27/06/2022,sell,,,29/06/2022,sell
27/03/2022,buy,,02/07/2022,buy,,,02/07/2022,buy
29/03/2022,sell,,07/07/2022,sell,,,07/07/2022,sell
01/04/2022,buy,,16/07/2022,buy,,,16/07/2022,buy
03/04/2022,sell,,21/07/2022,sell,,,22/07/2022,sell
09/04/2022,buy,,26/07/2022,buy,,,25/07/2022,buy
13/04/2022,sell,,30/07/2022,sell,,,29/07/2022,sell
17/04/2022,buy,,07/08/2022,buy,,,07/08/2022,buy
22/04/2022,sell,,15/08/2022,sell,,,15/08/2022,sell
26/04/2022,buy,,24/08/2022,buy,,,22/08/2022,buy
28/04/2022,sell,,28/08/2022,sell,,,27/08/2022,sell
02/05/2022,buy,,08/09/0202,buy,,,04/09/2022,buy
08/05/2022,sell,,18/09/2022,sell,,,21/09/2022,sell
07/05/2022,buy,,25/09/2022,buy,,,26/09/2022,buy
01/06/2022,sell,,01/10/2022,sell,,,01/10/2022,sell
07/06/2022,buy,,18/10/2022,buy,,,18/10/2022,buy
13/06/2022,sell,,30/10/2022,sell,,,30/10/2022,sell
19/06/2022,buy,,04/11/2022,buy,,,04/11/2022,buy
27/06/2022,sell,,10/11/2022,sell,,,10/11/2022,sell
02/07/2022,buy,,24/11/2022,buy,,,22/11/2022,buy
07/07/2022,sell,,30/11/2022,sell,,,01/12/2022,sell
10/07/2022,buy,,05/12/2022,buy,,,04/12/2022,buy
12/07/2022,sell,,11/12/2022,sell,,,11/12/2022,sell
16/07/2022,buy,,19/12/2022,buy,,,29/12/2022,buy
21/07/2022,sell,,26/12/2022,sell,,,,
26/07/2022,buy,,31/12/2022,buy,,,,
30/07/2022,sell,,,,,,,
02/08/2022,buy,,,,,,,
03/08/2022,sell,,,,,,,
07/08/2022,buy,,,,,,,
15/08/2022,sell,,,,,,,
24/08/2022,buy,,,,,,,
28/08/2022,sell,,,,,,,
01/09/2022,buy,,,,,,,
04/09/2022,sell,,,,,,,
08/09/0202,buy,,,,,,,
18/09/2022,sell,,,,,,,
25/09/2022,buy,,,,,,,
01/10/2022,sell,,,,,,,
18/10/2022,buy,,,,,,,
30/10/2022,sell,,,,,,,
04/11/2022,buy,,,,,,,
10/11/2022,sell,,,,,,,
14/11/2022,buy,,,,,,,
16/11/22,sell,,,,,,,
19/11/2022,buy,,,,,,,
21/11/2022,sell,,,,,,,
24/11/2022,buy,,,,,,,
30/11/2022,sell,,,,,,,
05/12/2022,buy,,,,,,,
11/12/2022,sell,,,,,,,
19/12/2022,buy,,,,,,,
26/12/2022,sell,,,,,,,
31/12/2022,buy,,,,,,,